row_id,source_page,source_row,company,added_date,description,website,headcount,employees,country,region,city,url_slug,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,investment_count,company_address,growth_3mo_headcount,growth_6mo_headcount,growth_1yr_headcount,growth_2yr_headcount,growth_3yr_headcount,growth_4yr_headcount,growth_5yr_headcount,growth_3mo_web_traffic,growth_extra_1,growth_extra_2,qa_pass,qa_flags
1,1,6,Ignite,"Jul 28, 2025 12.57 PM","that provides solutions for compliance, is a sustainable procurement platform",ignite.no,51-200,,Norway,Oslo,Oslo,igniteprocurement,Venture Capital,2017,16.4,4.8,Nov 2023,Series,Arkwright X,nla,griegkapital.no,,"Nedre Vollgate 11; Sentrum; Oslo 0158,NO",2%,5%,18 %,14%,77%,212%,,,,,yes,
2,1,7,Sendcloud,"Jul 28, 2025 12.57 PM",that offers solutions shipping software provider fol e-commerce,sendcloud.com,201-500,466,Netherlands,North Brabant,Eindhoven,seindcloud,Private Equity,2012,200.9,177,"Sep 14, 2021",Series,HPE Growth,Corporate,SoftBank Investme,40,"Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL",10%,9%,7%,12%,50%,142%,-8 %,,,,yes,
3,1,8,Clearstory,"Jul 28, 2025 12.57 PM",provides change order management tools fo_. Clearstory [ software company that clearstorybuild,,51-200,,United States,(USA),California,San Francisco,Venture Capital,2018,33.8,,"Jun 26, 2024",Series,Building Ventures,Corporate,Building Ventures,,"California, US",7%,20%,24%,51%,167%,,,,,,no,missing_website
4,1,9,Axelor,"Jul 28, 2025 12.57 PM",Axelor = Open Source business application suite_ software company that offers an axelorcom,,51-200,136,France,ile-De-France,Paris,arelor,Venture Capital,2005,10.5,10.5,May 2022,Series,Elevation Capital Partners,nla,Elevation Capital F,,"Paris, FR",-1%,-4%,4%,-17%,-11%,88 %,189%,231%,22%,,no,missing_website
5,1,10,Nexite,"Jul 28, 2025 12.57 PM",specializing in loT and Al solutions for fashio_ retail technology company,nexite.io,51-200,,Israel,Tel Aviv,Tel,Aviv-Yafo,Venture Capital,2017,100,,May 2022,Series,Battery Ventures,nla,Saban Ventures,100,"126 Igal Alon; Tel Aviv, Tel Aviv, IL",5 %,10%,12%,,,,,,,,yes,
6,1,11,Deliverect,"Jul 28, 2025 12.57 PM",specializing in food tech solutions for_ technology provider,deliverect.com,201-500,453,Belgium,Flanders,Ghent,duliverecthq,Venture Capital,2018,236.8,150,"Jan 23, 2022",Series,Alkeon Capital,Corporate,Newion,150,"Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE",1%,~2%,-4%,4%,6 %,-1%,124%,538%,-10%,,yes,
7,1,12,Celus,"Jul 28, 2025 12.57 PM",specializing in electronics design solutions I. CELUS GmbH is = technology company,celus.io,51-200,,Germany,Bavaria,Munich,caintunity,Venture Capital,2018,31.6,25.5,Jul % 2022,Series,2xN,nla,Plug and Play Tecl,,"RidlerstraBe 57; Munich, Bavaria 80339, DE",0%,24%,35%,116 %,236 %,266 %,55%,,,,yes,
8,1,13,Kinexon,"Jul 28, 2025 12.57 PM",specializing in industrial automation solution: KINEXON i technology company,kinexon.com,201-500,211,Germany,Bavaria,Munich,kinexon,Private Equity,2012,147.8,130,"Apr 25, 2022",Series,BMW i Ventures,nla,EIT Digital,29,"Schellingstr: 35; Munich, Bavaria 80799,DE",-4%,-10%,-11%,11%,-17%,-16 %,13%,23%,~20%,,yes,
9,1,14,Sendoso,"Jul 28, 2025 12.57 PM",Sendoso is specializes in personalized gifting solutions. corporate gifting service that,sendoso.com,201-500,399,United States,(USA),California,San Francisco,Venture Capital,2016,152.7,100,"Sep 13, 2021",Series,Craft Ventures,Corporate,Storm Ventures,43,"447 Battery St; Floor 2; San Francisco, California 94111, US",2%,-1%,1%,~2%,-2%,-16 %,-49%,43%,9%,,yes,
10,1,15,EXA Kehu,"Jul 28, 2025 12.57 PM",KEHU is a technology company specializing in distribution automation solutions: offers,kehutech.com,51-200,,China,Shanghai,Jing'An,kehutech,Venture Capital,2015,,,"Feb 26, 2019",Series,French Partners,nla,French Partners,,"#ZK, Ei4i 200000,CN",-3%,3%,6 %,,,,,,,,yes,
