page,row_index,status,company,added_date,description,website,headcount,employees,country,region,city,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,company_address,growth_metrics,raw_row_text
1,6,save,Ignite,"Jul 28, 2025 12.57 PM","that provides solutions for compliance, is a sustainable procurement platform igniteprocurement",ignite.no,51-200,,Norway,Oslo,Oslo,Venture Capital,2017,2017,16.4,Nov 2023,Series,Arkwright X,nla,griegkapital.no,"Nedre Vollgate 11; Sentrum; Oslo 0158,NO",2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5%,"save | hide| | Ignite | Jul 28, 2025 12.57 PM | Ignite | that provides solutions for compliance, | is a sustainable procurement platform | ignite.no | 51-200 | Norway | Oslo | Oslo | igniteprocurement | Load contacts | ntacts | Venture Capital | 2017 | 16.4 | 4.8 | Nov | 2023 | Series | Arkwright X | nla | griegkapital.no | nla | nla | nla | nla | 2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5% | Nedre Vollgate 11; Sentrum; Oslo 0158,NO | nla | nla | nla | nla | nla"
1,7,hide,Sendcloud,"Jul 28, 2025 12.57 PM",that offers solutions shipping software provider fol e-commerce sendcloud com seindcloud,,201-500,466,Netherlands,North Brabant,Eindhoven,Private Equity,2012,2012,200.9,"Sep 14, 2021",Series,HPE Growth,Corporate,SoftBank Investme,"Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL",10% | 9% | 7% | 12% | 50% | 142% | -8 %,"hide | Sendcloud | Jul 28, 2025 12.57 PM | Sendcloud | that offers solutions | shipping software provider | fol | e-commerce | sendcloud com | 201-500 | 466 | Netherlands | North Brabant | Eindhoven | seindcloud | Load contacts | ntacts | Private Equity | 2012 | 200.9 | 177 | Sep 14, 2021 | Series | HPE Growth | Corporate | SoftBank Investme | Lox | tracey SUI | nja | 40 | nja | 10% | 9% | 7% | 12% | nla | 50% | 142% | -8 % | Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL | nla | nla | nla | nla | nla"
1,8,Gave,Clearstory,"Jul 28, 2025 12.57 PM",provides change order management tools fo_. Clearstory [ software company that clearstorybuild San Francisco e)tracker,,51-200,,United States,(USA),California,Venture Capital,2018,2018,33.8,"Jun 26, 2024",Series,Building Ventures,Corporate,Building Ventures,"California, US",7% | 20% | 24% | 51% | 167%,"Gave | hide| | Clearstory | Jul 28, 2025 12.57 PM | provides change order management tools fo_. | Clearstory [ | software company that | clearstorybuild | 51-200 | United States | (USA) | California | San Francisco | e)tracker | Load contacts | ntacts | Venture Capital | 2018 | 33.8 | Jun 26, 2024 | Series | Building Ventures | Corporate | Building Ventures | DataStreet | nja | nla | 7% | 20% | 24% | 51% | nla | nfa | nla | 167% | San Francisco | California, US | nla | nla | nla | nla | nla"
1,9,hide,Axelor,"Jul 28, 2025 12.57 PM",Axelor = Open Source business application suite_ software company that offers an axelorcom arelor,,51-200,136,France,ile-De-France,Paris,Venture Capital,2005,2005,10.5,May 2022,Series,Elevation Capital Partners,nla,Elevation Capital F,"Paris, FR",-1% | -4% | 4% | -17% | -11% | 88 % | 189% | 231% | 22%,"hide | Axelor | Jul 28, 2025 12.57 PM | Axelor = | Open Source business application suite_ | software company that offers an | axelorcom | 51-200 | 136 | France | ile-De-France | Paris | arelor | Load contacts | ntacts | Venture Capital | 2005 | 10.5 | 10.5 | May | 2022 | Series | Elevation Capital Partners | nla | Elevation Capital F | nja | nla | nja | nja | -1% | -4% | 4% | -17% | -11% | 88 % | 189% | 231% | 22% | Paris, FR | nla | nla | nla | nla | nla"
1,10,hide,Nexite,"Jul 28, 2025 12.57 PM",specializing in loT and Al solutions for fashio_ retail technology company Aviv-Yafo nexiteretail,nexite.io,51-200,,Israel,Tel Aviv,Tel,Venture Capital,2017,2017,100,May 2022,Series,Battery Ventures,nla,Saban Ventures,"126 Igal Alon; Tel Aviv, Tel Aviv, IL",5 % | 10% | 12%,"hide | Nexite | Jul 28, 2025 12.57 PM | specializing in loT and Al solutions for fashio_ | Nexite | retail technology company | nexite.io | 51-200 | Israel | Tel Aviv | Tel | Aviv-Yafo | nexiteretail | Load contacts | ntacts | Venture Capital | 2017 | 100 | May | 2022 | Series | Battery Ventures | nla | Saban Ventures | nla | nla | nja | nja | 5 % | 10% | 12% | nfa | nla | nla | nla | nla | 126 Igal Alon; Tel Aviv, Tel Aviv, IL | nla | nla | nla | nla | nla"
1,11,hide,Deliverect,"Jul 28, 2025 12.57 PM",specializing in food tech solutions for_ technology provider deliverect com duliverecthq,,201-500,453,Belgium,Flanders,Ghent,Venture Capital,2018,2018,236.8,"Jan 23, 2022",Series,Alkeon Capital,Corporate,Newion,"Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE",1% | ~2% | -4% | 4% | 6 % | -1% | 124% | 538% | -10%,"hide | Deliverect | Jul 28, 2025 12.57 PM | specializing in food tech solutions for_ | Deliverect | technology provider | deliverect com | 201-500 | 453 | Belgium | Flanders | Ghent | duliverecthq | Load contacts | ntacts | Venture Capital | 2018 | 236.8 | 150 | Jan 23, 2022 | Series | Alkeon Capital | Corporate | Newion | Redp | Tabesto by Delivel | nja | nja | 1% | ~2% | -4% | 4% | 6 % | -1% | 124% | 538% | -10% | Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE | nfa | nla | nfa | nla | nla"
1,12,hide,Celus,"Jul 28, 2025 12.57 PM",specializing in electronics design solutions I. CELUS GmbH is = technology company celus io caintunity,,51-200,,Germany,Bavaria,Munich,Venture Capital,2018,2018,31.6,Jul % 2022,Series,2xN,nla,Plug and Play Tecl,"RidlerstraBe 57; Munich, Bavaria 80339, DE",0% | 24% | 35% | 116 % | 236 % | 266 % | 55%,"hide | Celus | Jul 28, 2025 12.57 PM | specializing in electronics design solutions I. | CELUS GmbH is = | technology company | celus io | 51-200 | Germany | Bavaria | Munich | caintunity | Load contacts | ntacts | Venture Capital | 2018 | 31.6 | 25.5 | Jul % | 2022 | Series | 2xN | nla | Plug and Play Tecl | nja | nla | nja | nja | nla | 0% | 24% | 35% | 116 % | 236 % | 266 % | 55% | RidlerstraBe 57; Munich, Bavaria 80339, DE | nla | nla | nla | nla | nla"
1,13,,Kinexon,"Jul 28, 2025 12.57 PM",specializing in industrial automation solution: KINEXON i technology company kinexon com kinexon,,201-500,211,Germany,Bavaria,Munich,Private Equity,2012,2012,147.8,"Apr 25, 2022",Series,BMW i Ventures,nla,EIT Digital,"Schellingstr: 35; Munich, Bavaria 80799,DE",-4% | -10% | -11% | 11% | -17% | -16 % | 13% | 23% | ~20%,"Kinexon | Jul 28, 2025 12.57 PM | specializing in industrial automation solution: | KINEXON i | technology company | kinexon com | 201-500 | 211 | Germany | Bavaria | Munich | kinexon | Load contacts | ntacts | Private Equity | 2012 | 147.8 | 130 | Apr 25, 2022 | Series | BMW i Ventures | nla | EIT Digital | Eul | nla | nla | nja | 29 | nja | -4% | -10% | -11% | 11% | -17% | -16 % | 13% | 23% | ~20% | Schellingstr: 35; Munich, Bavaria 80799,DE | nla | nla | nla | nla | nla"
1,14,hide,,"Jul 28, 2025 12.57 PM",Sendoso is specializes in personalized gifting solutions. corporate gifting service that San Francisco seindoso,sendoso.com,201-500,399,United States,(USA),California,Venture Capital,2016,2016,152.7,"Sep 13, 2021",Series,Craft Ventures,Corporate,Storm Ventures,"447 Battery St; Floor 2; San Francisco, California 94111, US",2% | -1% | 1% | ~2% | -2% | -16 % | -49% | -16 % | 43% | 9%,"hide | Sendoso | Jul 28, 2025 12.57 PM | Sendoso is | specializes in personalized gifting solutions. | corporate gifting service that | sendoso.com | 201-500 | 399 | United States | (USA) | California | San Francisco | seindoso | Load contacts | ntacts | Venture Capital | 2016 | 152.7 | 100 | Sep 13, 2021 | Series | Craft Ventures | Corporate | Storm Ventures | Alyce by Sendoso | nja | 43 | nja | 2% | -1% | 1% | ~2% | -2% | -16 % | -49% | -16 % | 43% | 9% | 447 Battery St; Floor 2; San Francisco, California 94111, US | nla | nla | nla | nla | nla"
1,15,,EXA Kehu,"Jul 28, 2025 12.57 PM",KEHU is a technology company specializing in distribution automation solutions: offers kehutech com kehutech,,51-200,,China,Shanghai,Jing'An,Venture Capital,2015,2015,,"Feb 26, 2019",Series,French Partners,nla,French Partners,"#ZK, Ei4i 200000,CN",-3% | 3% | 6 % | 6 % | 3%,"EXA Kehu | Jul 28, 2025 12.57 PM | KEHU is a technology company specializing in | distribution automation solutions: | offers | kehutech com | 51-200 | China | Shanghai | Jing'An | kehutech | Load contacts | ntacts | Venture Capital | 2015 | Feb 26, 2019 | Series | French Partners | nla | French Partners | nja | nla | nja | nja | nla | nla | -3% | 3% | 6 % | nla | 6 % | 3% | nla | Cinda Building, 1399 West Beijing Road, JingAn District, | Shanghai, China; #EI, 7F, | #ZK, Ei4i 200000,CN | nfa | nla | nfa | nla | nla"
