company,added_date,status,description,website,headcount,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_type,last_funding_lead_investor,company_address,growth_metrics,source_page,source_row,raw_row_text
20Cube Logistics,"Jul 28, 2025 12.57 PM",save,provides comprehensive supply chain. logistics company tha 2ucube-logistics,2ocube.com,"501-1,000",Private Equity,2011,,,Series,sentorinvestments comau,"Singapore, 068809_",2 % | 11% | 15% | 32% | 61% | 100% | 116 % | ~25%,,,"save | (hide | 20Cube Logistics | Jul 28, 2025 12.57 PM | 20Cube Logistics | provides comprehensive supply chain. | logistics company tha | 2Ocube.com | 501-1,000 | 902 | Singapore | nla | nla | 2ucube-logistics | Load contacts | ntacts | Private Equity | 2011 | nla | Feb 28, 2019 | Series | sentorinvestments comau | nla | credence-investm | nla | nla | nla | nla | 2 % | 11% | 15% | 32% | 61% | 100% | 116 % | ~25% | SG | Shenton | Way #24-12; OUE Downtown | Singapore, 068809_ | nfa | nfa | nfa | nla | ~nla"
4intelligence,"Jul 28, 2025 12.57 PM",save,4intelligence is consulting firm that specializes in providing_. data analytics and 4intelligence-data- science,4intelligence.ai,51-200,,2016,,,Series,Airborne Ventures,"Alameda Santos; 2400; Alameda Santos, 2400, Jardim Paulista ,",5% | -2% | ~22% | -22% | ~34% | -23% | 1% | 28%,,,"save | (hide | 4intelligence | ~Jul 28,2025 12.57 PM | 4intelligence is | consulting firm that specializes in providing_. | data analytics and | 4intelligence.ai | 51-200 | Brazil | nla | nla | 4intelligence-data- | science | Load contacts | ntacts | Other Financial | Sponsor | 2016 | Jun 21, 2021 | Series | Airborne Ventures | nja | Airborne Ventures | nia | nia | nja | nja | 5% | -2% | ~22% | -22% | ~34% | -23% | 1% | nla | 28% | Sao Paulo, SP 01418-200,BR | Alameda Santos; 2400; Alameda Santos, 2400, Jardim Paulista , | nfa | nja | nfa | nla | nfa"
6a5x,"Jul 28, 2025 12.57 PM",save | hide,Kujiale is provides online 3D design tools for design software company that home . %e9%85%b7%e5_,kujiale.com,"501-1,000",Venture Capital,2011,,234.8,,,"EMYDi-10-13F; #E, MHi 310000, CN",41% | 41% | ~1% | 41% | ~1% | 5% | I1% | 56 %,,,"save | hide | 6a5x | Jul 28, 2025 12.57 PM | Kujiale is | provides online 3D design tools for | design software company that | home . | kujiale.com | 501-1,000 | 273 | China | Zhejiang | Hangzhou | %e9%85%b7%e5_ | Load contacts | ntacts | Venture Capital | 2011 | 234.8 | 100 | Oct 24, 2019 | Series D | GGV Capital | Corporate | W95Z Shunwei | Modelo | 443.1k | 443.1k | 39 | nla | 41% | 41% | ~1% | 41% | ~1% | 5% | nla | I1% | 56 % | nfa | EMYDi-10-13F; #E, MHi 310000, CN | nfa | nfa | nfa | nfa | nfa"
ABM Cloud,"Jul 28, 2025 12.57 PM",save | hide,provides cloud based solutions for business_ ABM Cloud is = technology company that abmcloud com Estonia Harju Tallinn %e2%80%93 -_ alim-cloud -,abm.cloud,51-200,Venture Capital,2014,,,Series,nla,"Tartu highway; 2; Tallinn, EE",~1% | 4% | 10% | 8% | 9% | ~1%,,,"save | hide | ABM Cloud | Jul 28, 2025 12.57 PM | provides cloud based solutions for business_ | ABM Cloud is = | technology company that | abmcloud com | 51-200 | 150 | Estonia | Harju | Tallinn | %e2%80%93 -_ | alim-cloud - | Load contacts | ntacts | Venture Capital | 2014 | Dec 20, 2020 | Series | nla | nla | nla | nla | nla | nla | nla | ~1% | 4% | 10% | 8% | 9% | nla | nla | ~1% | Tartu highway; 2; Tallinn, EE | nla | nla | nla | nla | nla"
Actio Brasil,"Jul 28, 2025 12.57 PM",save | hide,Actio Software specializes providing management software company that actiosoftware com aritiosoftware,actiosoftware.com,51-200,Venture Capital,2005,,,Series,nla,"Gerais 31110-230, BR",3% | 7% | 32% | 62%,,,"save | hide | Actio Brasil | Jul 28, 2025 12.57 PM | Actio Software | specializes | providing management | software company that | actiosoftware com | 51-200 | 86 | Brazil | Minas Gerais | Belo Horizonte | aritiosoftware | Load contacts | ntacts | Venture Capital | 2005 | Aug 31, 2022 | Series | nla | nla | Falconi| | nla | nla | nla | nla | nla | 3% | 7% | 32% | 62% | nla | nla | nla | Minas € | Avenida Cristiano Machado, 2940; 40 andar; Belo Horizonte , | Gerais 31110-230, BR | nla | nfa | nfa | nla | nla"
Activities,"Jul 28, 2025 12.57 PM",save | hide,BeMyGuest Pte. Ltd. is a technology provider specializing solutions for the travel::. bemyguest com sg bumyguest-travel,bemyguest.com,51-200,Venture Capital,2012,,,Series,nla,"Singapore; Singapore, SG",~4% | ~8 % | -8% | -10% | ~2% | 32% | 41% | 24% | ~49%,,,"save | hide | BeMyGuest - Tours | Activities | Jul 28, 2025 12.57 PM | BeMyGuest Pte. Ltd. is a technology provider | specializing | solutions for the travel::. | bemyguest com sg | 51-200 | Singapore | nla | nla | bumyguest-travel | Load contacts | ntacts | Venture Capital | 2012 | nla | Jun 23, 2019 | Series | nla | Corporate | Tidesquare | Indiescapes | nla | nla | ~4% | ~8 % | -8% | -10% | ~2% | 32% | 41% | 24% | ~49% | Singapore; Singapore, SG | nla | nla | nla | nla | nla"
AdAdapted,"Jul 28, 2025 12.57 PM",save | hide,AdAdapted is that specializes in providing marketing_ mobile advertising company adadapted com (USA) arladapted,adadapted.com,51-200,Venture Capital,2012,,7.4,,,"206 E Huron St; Ann Arbor; Michigan 48104, US",0% | 0% | 5% | 5% | 7% | 40% | 136 % | -14%,,,"save | hide | AdAdapted | Jul 28,2025 12.57 PM | AdAdapted is | that specializes in providing marketing_ | mobile advertising company | adadapted com | 51-200 | (USA) | United States | Michigan | Ann Arbor | arladapted | Load contacts | ntacts | Venture Capital | 2012 | 7.4 | Jul 13,2020 | Series A | Capital Midwest Fund | nfa | ckmcapcom | nla | nfa | nia | nfa | 0% | 0% | 5% | 5% | 7% | 40% | 136 % | -14% | 206 E Huron St; Ann Arbor; Michigan 48104, US | nla | nla | nfa | nla | nla"
Aeb,"Jul 28, 2025 12.57 PM",hide,AEB is a software company specializing in global trade ad logistics solutions They_ Stuttgart arb,aeb.com,"501-1,000",Private Equity,1979,,41.7,Series,Agman,"Sigmaringer StraBe 109; Stuttgart; Baden-Wirttemberg 70567,",1% | 8 % | 14% | 26 % | 31% | 54% | 59% | 20%,,,"hide | Aeb | Jul 28, 2025 12.57 PM | AEB is a software company specializing in | global trade ad | logistics solutions They_ | aeb.com | 501-1,000 | 871 | Germany | Wurttemberg | Baden - | Stuttgart | arb | Load contacts | ntacts | Private Equity | 1979 | 41.7 | 14.2 | Aug | 2009 | Series | Agman | Corporate | Flagship Pioneerin | nja | nla | nja | nja | 1% | 8 % | 14% | 26 % | 31% | 54% | 59% | 20% | DE | Sigmaringer StraBe 109; Stuttgart; Baden-Wirttemberg 70567, | nla | nla | nla | nla | nla"
Aforza,"Jul 28, 2025 12.57 PM",hide,~solutions for the consumer products industr _. solutions for the consumer products industr _. Aforza is software company specializing in (UK) alorza Load,aforza.com,51-200,Venture Capital,2019,,22,Series,Bonfire Ventures,"London, SET 7LY, GB",1% | 11% | 11% | 11% | 4% | 55% | 204% | 40%,,,"Gve | hide | Aforza | Jul 28, 2025 12.57 PM | Aforza | ~solutions for the consumer products industr _. | solutions for the consumer products industr _. | Aforza is | software company specializing in | aforza.com | 51-200 | 70 | (UK) | United Kingdom | England | London | alorza | Load | Load contacts | contacts | ntacts | Venture Capital | 2019 | 22 | Aug 11, 2021 | Series | Bonfire Ventures | nla | DN Capital | nla | nia | nfa | nla | nfa | nla | nla | 1% | 11% | 11% | 11% | 4% | 55% | 204% | 40% | Aforza, Scott House; Suite 218, The Concourse Waterloo Station; | London, SET 7LY, GB | nfa | nla | nfa | nla | nfa | nla | nfa | nla | nfa | nla"
Afresh,"Jul 28, 2025 12.57 PM",save | hide,Afresh is that specializes in software solutions for_ grocery retail technology provider afresh com (USA) alreshtechnologies,afresh.com,51-200,Private Equity,2017,,147.8,,,"33 New Montgomery St; San Francisco, California 94105, US",-1% | 5% | ~2% | -2% | ~15% | 0% | 176 % | 348% | 148%,,,"save | hide | Afresh | Jul 28,2025 12.57 PM | Afresh is | that specializes in software solutions for_ | grocery retail technology provider | afresh com | 51-200 | 166 | (USA) | United States | California | San Francisco | alreshtechnologies | Load contacts | ntacts | Private Equity | 2017 | 147.8 | 115 | Aug 3,2022 | Series B | HighSage Ventures | nja | Insight Partners | nia | nia | nja | nja | -1% | 5% | ~2% | -2% | ~15% | 0% | 176 % | 348% | 148% | 33 New Montgomery St; San Francisco, California 94105, US | nla | nla | nfa | nla | nfa"
