company,field,issue_type,detail
Clearstory,website,missing,No website extracted
Axelor,website,missing,No website extracted
Deliverect,website,missing,No website extracted
,company,missing,Missing company
Gave,added_date,missing,Missing added_date
6.5,added_date,format,"Unexpected date format: Sep 12, 2022"
6.5,company,format,Company name looks garbled
Milkman Technologies,website,missing,No website extracted
29.5,added_date,format,"Unexpected date format: Dec 19, 2021"
29.5,company,format,Company name looks garbled
Mercateam,website,missing,No website extracted
GoComet,website,missing,No website extracted
Knowledgehook,website,missing,No website extracted
CONSTRA by HUVIAiR,website,missing,No website extracted
16.9,added_date,format,"Unexpected date format: Sep 21, 2021"
16.9,company,format,Company name looks garbled
1t5metFNMEMTR4],website,missing,No website extracted
nia,added_date,format,"Unexpected date format: Aug 25, 2020"
Method CRM,website,missing,No website extracted
M2030,company,format,Company name looks garbled
M2030,website,missing,No website extracted
"Beijing Freedo Technology Co , Ltd.",website,missing,No website extracted
60,added_date,format,"Unexpected date format: Feb 26, 2023"
60,company,format,Company name looks garbled
60,website,missing,No website extracted
20.4,added_date,format,"Unexpected date format: Jan 16, 2022"
20.4,company,format,Company name looks garbled
Pensa Systems,website,missing,No website extracted
CallPoint New Europe EAD,website,missing,No website extracted
Findability Certified Professional,website,missing,No website extracted
save,added_date,missing,Missing added_date
save,website,missing,No website extracted
nla,added_date,format,"Unexpected date format: Oct 25, 2021"
#WitefmsimziR'A],company,format,Company name looks garbled
1994,added_date,format,"Unexpected date format: Dec 18, 2022"
1994,company,format,Company name looks garbled
OmniRetail Africa,website,missing,No website extracted
26.7,added_date,format,"Unexpected date format: Apr 18, 2000"
26.7,company,format,Company name looks garbled
Hover,website,missing,No website extracted
2018,added_date,format,"Unexpected date format: Oct 3, 2021"
2018,company,format,Company name looks garbled
Company,headcount,format,"Unexpected headcount format: ""201-500"
14.2,added_date,format,"Unexpected date format: May 22, 2022"
14.2,company,format,Company name looks garbled
Group,headcount,format,"Unexpected headcount format: ""201-500"
4.5,added_date,format,"Unexpected date format: May 11, 2022"
4.5,company,format,Company name looks garbled
4.5,website,missing,No website extracted
save,added_date,missing,Missing added_date
10.3,added_date,format,"Unexpected date format: Oct 20, 2021"
10.3,company,format,Company name looks garbled
26,added_date,format,"Unexpected date format: Apr 17, 2024"
26,company,format,Company name looks garbled
13.5,added_date,format,"Unexpected date format: Jan 29, 2023"
13.5,company,format,Company name looks garbled
13.4,added_date,format,"Unexpected date format: Sep 25, 2018"
13.4,company,format,Company name looks garbled
RetaiICRM,website,missing,No website extracted
29.4,added_date,format,"Unexpected date format: Apr 22, 2019"
29.4,company,format,Company name looks garbled
#WAR,company,format,Company name looks garbled
Kilo,website,missing,No website extracted
NewStore,added_date,format,"Unexpected date format: Jul 28, 2025 12.:57 PM"
Djust,added_date,format,"Unexpected date format: Jul 28, 2025 12.:57 PM"
