page,row_index,y_center,token_count,row_text
1,1,28.714285714285715,7,!i inven | Search | Alerts | My lists | New list | SCM Planning Companies [ 500 & 0 | Company quick search
1,2,81.9,5,SCM Planning Companies | 0 500 saved | hidden | Share | Delete
1,3,132.33333333333334,3,@ Companies | Analytics | now
1,4,167.5909090909091,11,Save 500 | Hide 500 | Clear 500 | Add to list | Import | Export 500 | Al Screener 500 | Create alert | Only show saved | Find in table | Edit columns
1,5,212.54347826086956,46,Status | Company | Added Date | Description | Notes | Website | Headcount | Employees | Country | Region | City | URL | Contact | Ownership Type | Founded | Total Funding | Total Funding SM | Last Funding Amount SM | Last Funding Date | Last Funding Type | Last Funding Lead Investors | Investor Type | Investors | Investments | Investment count | Historical deal size USD | Funding Rounds | Revenue SM | Profile last | viewed | 3mo. headcount growth | 6mo. headcount growth | Idcount growth | Iyr: headcount growth | 2yr: heac | 2yr: headcount growth | 3yr: headcount growth | 4yr: headcount growth | Syr: headcount growth | 3mo. web traffic growth | Company addresses | Revenue growth 2023-2024 | Revenue growth 2021-2024 | Revenue growth 2024-2025 | Revenue growth 2024-2027 | IPO date
1,6,251.8372093023256,43,"save | hide| | Ignite | Jul 28, 2025 12.57 PM | Ignite | that provides solutions for compliance, | is a sustainable procurement platform | ignite.no | 51-200 | Norway | Oslo | Oslo | igniteprocurement | Load contacts | ntacts | Venture Capital | 2017 | 16.4 | 4.8 | Nov | 2023 | Series | Arkwright X | nla | griegkapital.no | nla | nla | nla | nla | 2% | 2% | 5% | 18 % | 14% | 77% | 212% | 5% | Nedre Vollgate 11; Sentrum; Oslo 0158,NO | nla | nla | nla | nla | nla"
1,7,296.8666666666667,45,"hide | Sendcloud | Jul 28, 2025 12.57 PM | Sendcloud | that offers solutions | shipping software provider | fol | e-commerce | sendcloud com | 201-500 | 466 | Netherlands | North Brabant | Eindhoven | seindcloud | Load contacts | ntacts | Private Equity | 2012 | 200.9 | 177 | Sep 14, 2021 | Series | HPE Growth | Corporate | SoftBank Investme | Lox | tracey SUI | nja | 40 | nja | 10% | 9% | 7% | 12% | nla | 50% | 142% | -8 % | Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL | nla | nla | nla | nla | nla"
1,8,341.69047619047615,42,"Gave | hide| | Clearstory | Jul 28, 2025 12.57 PM | provides change order management tools fo_. | Clearstory [ | software company that | clearstorybuild | 51-200 | United States | (USA) | California | San Francisco | e)tracker | Load contacts | ntacts | Venture Capital | 2018 | 33.8 | Jun 26, 2024 | Series | Building Ventures | Corporate | Building Ventures | DataStreet | nja | nla | 7% | 20% | 24% | 51% | nla | nfa | nla | 167% | San Francisco | California, US | nla | nla | nla | nla | nla"
1,9,386.54545454545456,44,"hide | Axelor | Jul 28, 2025 12.57 PM | Axelor = | Open Source business application suite_ | software company that offers an | axelorcom | 51-200 | 136 | France | ile-De-France | Paris | arelor | Load contacts | ntacts | Venture Capital | 2005 | 10.5 | 10.5 | May | 2022 | Series | Elevation Capital Partners | nla | Elevation Capital F | nja | nla | nja | nja | -1% | -4% | 4% | -17% | -11% | 88 % | 189% | 231% | 22% | Paris, FR | nla | nla | nla | nla | nla"
1,10,431.85714285714283,42,"hide | Nexite | Jul 28, 2025 12.57 PM | specializing in loT and Al solutions for fashio_ | Nexite | retail technology company | nexite.io | 51-200 | Israel | Tel Aviv | Tel | Aviv-Yafo | nexiteretail | Load contacts | ntacts | Venture Capital | 2017 | 100 | May | 2022 | Series | Battery Ventures | nla | Saban Ventures | nla | nla | nja | nja | 5 % | 10% | 12% | nfa | nla | nla | nla | nla | 126 Igal Alon; Tel Aviv, Tel Aviv, IL | nla | nla | nla | nla | nla"
