company,website,linkedin_url,description,hq,headcount,funding_amount,last_round_date,investors,stage_inferred,category_tags,stealth_tag,source,source_url,signal_text,date_captured
Orbit,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Orbit,2026-02-05T21:11:23Z
Podcast,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Podcast,2026-02-05T21:11:23Z
Knowledge Base,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Knowledge Base,2026-02-05T21:11:23Z
Blog,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Blog,2026-02-05T21:11:23Z
News,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,News,2026-02-05T21:11:23Z
Donate,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Donate,2026-02-05T21:11:23Z
Twitter,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Twitter,2026-02-05T21:11:23Z
LinkedIn,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,LinkedIn,2026-02-05T21:11:23Z
Instagram,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Instagram,2026-02-05T21:11:23Z
Our Mission,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Our Mission,2026-02-05T21:11:23Z
Guiding Principles,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Guiding Principles,2026-02-05T21:11:23Z
Our Space,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Our Space,2026-02-05T21:11:23Z
Membership,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Membership,2026-02-05T21:11:23Z
Team,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Team,2026-02-05T21:11:23Z
Annual Report,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Annual Report,2026-02-05T21:11:23Z
Awards,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Awards,2026-02-05T21:11:23Z
Eship Courses,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Eship Courses,2026-02-05T21:11:23Z
MIT Sloan E+I Certificate,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,MIT Sloan E+I Certificate,2026-02-05T21:11:23Z
Engineering Entrepreneurship Certificate,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Engineering Entrepreneurship Certificate,2026-02-05T21:11:23Z
Courseorama,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Courseorama,2026-02-05T21:11:23Z
Affiliated Faculty,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Affiliated Faculty,2026-02-05T21:11:23Z
edX,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,edX,2026-02-05T21:11:23Z
Executive Education,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Executive Education,2026-02-05T21:11:23Z
Entrepreneurs in Residence,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Entrepreneurs in Residence,2026-02-05T21:11:23Z
Professional Advisors,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Professional Advisors,2026-02-05T21:11:23Z
Student Organizations,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Student Organizations,2026-02-05T21:11:23Z
Campus Partners,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Campus Partners,2026-02-05T21:11:23Z
DIY MTC,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,DIY MTC,2026-02-05T21:11:23Z
BU/MIT Student Innovations Law Clinic,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,BU/MIT Student Innovations Law Clinic,2026-02-05T21:11:23Z
Meeting Rooms,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Meeting Rooms,2026-02-05T21:11:23Z
ACCELERATOR,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,ACCELERATOR,2026-02-05T21:11:23Z
MIT delta v,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,MIT delta v,2026-02-05T21:11:23Z
2025 delta v,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,2025 delta v,2026-02-05T21:11:23Z
Demo Day,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Demo Day,2026-02-05T21:11:23Z
MIT delta v NYC,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,MIT delta v NYC,2026-02-05T21:11:23Z
Past Teams,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Past Teams,2026-02-05T21:11:23Z
10 Years Impact Study,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,10 Years Impact Study,2026-02-05T21:11:23Z
delta v FAQ,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,delta v FAQ,2026-02-05T21:11:23Z
Application Guidelines,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Application Guidelines,2026-02-05T21:11:23Z
Events,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,Events,2026-02-05T21:11:23Z
MIT Fuse,,,,,,,,MIT Delta V,,"industrial software, manufacturing software, supply chain",,list_page,https://deltav.mit.edu/,MIT Fuse,2026-02-05T21:11:23Z
